Name;Typ/Type;Controller;Serien Nummer / Serial No;Sensor MeasureRange;Max. angle;Straightness;Frequency;Resolution;Measurment length;Cutoff;Linearity Sensor;Linearity Table + Sensor;MeasureRange;Recommended measuring tilt;Recommended measuring length;Frequency;Resolution;Groove Tolerance;Frequency;Resolution;Measurment length;Cutoff;Tolerance;Frequency;Resolution;Measurment length;Tolerance Ra;Tolerance Rz;Frequency;Resolution;Measurment length;Cutoff R;Needle;Noise
AF2;AF2;AF2;0011;1500;25;0,5;1000;5;50;250;0,5;1;1500;4;21,5;1000;5;0,1;1000;1;3,5;25;1;1000;5;43;0,02;0,3;1000;1;5;800;5;0,1
AF5;AF5;AF5;0011;1500;25;0,5;1000;5;50;250;0,5;1;1500;4;21,5;1000;5;0,1;1000;1;3,5;25;1;1000;5;43;0,05;0,3;1000;1;5;800;5;0,1
CF13 CF 1L;CF13 / CF 1L;CF13 / CF 1L;0;1000;25;0,5;800;5;50;250;2;2,5;1000;4;14,3;800;4;0,2;800;1;3,5;25;2,5;800;4;43;0;0;0;0;0;0;0;0,1
CF4 CF 1;CF4 / CF 1;CF4 / CF 1;0011;1000;25;0,5;800;5;50;250;1;1,5;1000;4;14,3;800;4;0,2;800;1;3,5;25;1,5;800;4;43;0;0;0;0;0;0;0;0,1
CP25 CP 1,8;CP25 / CP 1,8;CP25 / CP 1,8;0;1800;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;800;15;43;0;0;0;0;0;0;0;0
CP50 CP 8;CP50 / CP 8;CP50 / CP 8;0;8000;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;700;15;43;0;0;0;0;0;0;0;0
CP75 CP 18;CP75 / CP 18; CP75 / CP 18;0;18000;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;700;15;43;0;0;0;0;0;0;0;0
CRT5;CRT5;CHR 150;0;330;30;0,5;400;5;50;250;1;1,5;313,5;4;4,5;400;5;0,1;400;4;3,5;25;0;0;0;0;0,1;0,4;1000;4;5;800;7;0,1
CRT22;CRT22;CHR 150;0;1000;15;0,5;400;10;50;250;3;3,5;950;4;13,6;1000;10;0;0;0;0;0;1;1000;10;43;0;0;0;0;0;0;0;0,1
CRT38;CRT38;CHR 150;0011;3000;15;0,5;400;10;50;250;6;6,5;2850;10;16,2;1000;10;0;0;0;0;0;1;1000;10;43;0;0;0;0;0;0;0;0,1
CLA 0,1 S;CLA 0,1 S/ L;CCS Prima;0;100;42,5;0;0;0;0;0;0,5;1;95;4;1,4;400;4;0,2;400;2;3,5;25;0;0;0;0;0,1;0,4;1000;2;5;800;7;0
CLA 0,3 S;CLA 0,3 S/M/L;CCS Prima;0;300;28;0,5;1000;5;50;250;1;1,5;285;4;4,1;1000;5;0,2;1000;2;3,5;25;0;0;0;0;0,1;0,6;1000;2;5;800;7;0
