Name;Rauhnormal;Soll Ra;Soll Rz;Abteilung
1123 D1 (ISO 5436-1) 069 PTB 03;1123 D1 (ISO 5436-1) 069 PTB 03;1,45;7,11;Applikation
5201 D1 (ISO 5436-1) 038 PTB 07;5201 D1 (ISO 5436-1) 038 PTB 07;1,82;7,81;Fertigung
5449 D1 (ISO 5436-1) 57018 PTB 10;5449 D1 (ISO 5436-1) 57018 PTB 10;0,23;1,5;Fertigung
6005 D1 (ISO 5436-1) 57209 PTB 11;6005 D1 (ISO 5436-1) 57209 PTB 11;1,64;7,92;Applikation
6044 D1 (ISO 5436-1) 57206 PTB 11;6044 D1 (ISO 5436-1) 57206 PTB 11;0,58;2,76;Fertigung
6459 D1 (ISO 5436-1) 13TH15 DKD 13;6459 D1 (ISO 5436-1) 13TH15 DKD 13;1,63;7,75;Service
6512 D1 (ISO 5436-1) 57024 PTB 13;6512 D1 (ISO 5436-1) 57024 PTB 13;1,63;7,72;Applikation
6640 D1 (ISO 5436-1) 14TH109 DKD 14;6640 D1 (ISO 5436-1) 14TH109 DKD 14;1,68;8,22;FuE
6853  D1 (ISO 5436-1) 57051 PTB 14;6853  D1 (ISO 5436-1) 57051 PTB 14;1,6;7,76;Service
6854 D1 (ISO 5436-1) 14TH62 DKD 14;6854 D1 (ISO 5436-1) 14TH62 DKD 14;1,61;7,8;Service (Zimmer)
7385 D2 (ISO 5436-1) 57211 PTB 15;7385 D2 (ISO 5436-1) 57211 PTB 15;0,0826;0,4513;Applikation
8787  D1 (ISO 5436-1) 57052 PTB 14;8787  D1 (ISO 5436-1) 57052 PTB 14;1,62;7,75;Service
