Name;Tiefeneinstellnormal;Soll;Abteilung
0990 1µm A2 006 ;0990 1µm A2 (ISO 5436-1) 006 PTB 01;1,24;Service
0990 4µm A2 006 ;0990 4µm A2 (ISO 5436-1) 006 PTB 01;4,126;Service
0990 9µm A2  006 ;0990 9µm A2 (ISO 5436-1) 006 PTB 01;9,06;Service
1125 1µm A2   058 ;1125 1µm A2 (ISO 5436-1) 058 PTB 07;0,957;Fertigung
1125 4µm A2 058 ;1125 4µm A2 (ISO 5436-1) 058 PTB 07;3,926;Fertigung
1125 9µm A2 058 ;1125 9µm A2 (ISO 5436-1) 058 PTB 07;9,61;Fertigung
5958 1µm A2 ;5958 1µm A2 (ISO 5436-1) Halle 11;0,947;FuE
5958 4µm A2  ;5958 4µm A2 (ISO 5436-1) Halle 11;4,17;FuE
5958 9µm A2;5958 9µm A2 (ISO 5436-1) Halle 11;8,77;FuE
6073 1µm A2 57196 ;6073 1µm A2 (ISO 5436-1) 57196 PTB 11;0,951;Fertigung
6073 4µm A2 57196 ;6073 4µm A2 (ISO 5436-1) 57196 PTB 11;4,265;Fertigung
6073 9µm A2  57196 ;6073 9µm A2 (ISO 5436-1) 57196 PTB 11;9,500;Fertigung
6074 1µm A2   57197 ;6074 1µm A2 (ISO 5436-1) 57197 PTB 11;1,108;Service
6074 4µm A2   57197 ;6074 4µm A2 (ISO 5436-1) 57197 PTB 11;4,389;Service
6074 9µm A2   57197 ;6074 9µm A2 (ISO 5436-1) 57197 PTB 11;9,072;Service
6078 1µm A2   57207 ;6078 1µm A2 (ISO 5436-1) 57207 PTB 11;1,098;Applikation
6078 4µm A2   57207 ;6078 4µm A2 (ISO 5436-1) 57207 PTB 11;3,952;Applikation
6078 9µm A2   57207 ;6078 9µm A2 (ISO 5436-1) 57207 PTB 11;9,084;Applikation
7402 1µm A2   15TH184 ;7402 1µm A2 (ISO 5436-1) 15TH184 DKD 15;1;Applikation
7402 4µm A2   15TH184 ;7402 4µm A2 (ISO 5436-1) 15TH184 DKD 15 ;3,98;Applikation
7402 9µm A2   15TH184 ;7402 9µm A2 (ISO 5436-1) 15TH184 DKD 15 ;8,98;Applikation
7490 1µm A2   9283 ;7490 1µm A2 (ISO 5436-1) 9283 DKD 16;1,01;Applikation
7490 4µm A2   9283 ;7490 4µm A2 (ISO 5436-1) 9283 DKD 16;4,02;Applikation
7490 9µm A2   9283 ;7490 9µm A2 (ISO 5436-1) 9283 DKD 16;9;Applikation
7494 1µm A2   9287 ;7494 1µm A2 (ISO 5436-1) 9287 DKD 16;1,01;Applikation KA
7494 4µm A2   9287 ;7494 4µm A2 (ISO 5436-1) 9287 DKD 16  ;3,99;Applikation KA
7494 9µm A2   9287 ;7494 9µm A2 (ISO 5436-1) 9287 DKD 16;9,02;Applikation KA
EN6692 1µm A2   57363;EN6692 1µm A2 (ISO 5436-1) 57363PTB18;0,99;Service
EN6692 4µm A2   57363;EN6692 4µm A2 (ISO 5436-1) 57363PTB18;4,727;Service
EN6692 9µm A2   57363;EN6692 9µm A2 (ISO 5436-1) 57363PTB18;9,169;Service
EN6696 1µm A2   57364;EN6696 1µm A2 (ISO 5436-1) 57364PTB18;1,2;Service
EN6696 4µm A2   57364;EN6696 4µm A2 (ISO 5436-1) 57364PTB18;4,478;Service
EN6696 9µm A2   57364;EN6696 9µm A2 (ISO 5436-1) 57364PTB18;9,027;Service
